Feature_Name,Feature_Name_EN,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Status_EN,Approval_Date,Origin,Origin_EN
8归乡,8 Homeward,Moon,12.52,-12.02,97.09,Planetographic  +East  -180 - 180,已批准,Approved,"Oct 5, 2018",1968年12月24日由W. A. Anders在阿波罗8号上拍摄的标志性“地球上升”彩色照片中可见的陨石坑，象征着安全返回阿波罗8号地球。该陨石坑以前被称为Ganskiy（Hansky）M。,"Crater visible in the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, symbolizes the safe return to Earth of Apollo 8. The crater was previously designated Ganskiy (Hansky) M."
阿贝,Abbe,Moon,63.98,-57.58,174.77,Planetographic  +East  -180 - 180,已批准,Approved,1970,恩斯特·卡尔；德国眼镜师，物理学家，天文学家（1840-1905）。,"Ernst Karl; German optician, physicist, astronomer (1840-1905)."
阿贝·H,Abbe H,Moon,25.13,-58.44,177.58,Planetographic  +East  -180 - 180,已批准,Approved,2006,恩斯特·卡尔；德国眼镜师，物理学家，天文学家（1840-1905）。,"Ernst Karl; German optician, physicist, astronomer (1840-1905)."
阿贝K,Abbe K,Moon,26.1,-59.82,176.86,Planetographic  +East  -180 - 180,已批准,Approved,2006,恩斯特·卡尔；德国眼镜师，物理学家，天文学家（1840-1905）。,"Ernst Karl; German optician, physicist, astronomer (1840-1905)."
阿贝·M,Abbe M,Moon,28.61,-61.75,175.24,Planetographic  +East  -180 - 180,已批准,Approved,2006,恩斯特·卡尔；德国眼镜师，物理学家，天文学家（1840-1905）。,"Ernst Karl; German optician, physicist, astronomer (1840-1905)."
方丈,Abbot,Moon,10.4,5.56,54.74,Planetographic  +East  -180 - 180,已批准,Approved,1973,查尔斯·格里利；美国天体物理学家（1872-1973）。,Charles Greeley; American astrophysicist (1872-1973).
[阿卜杜勒],[Abduh],Moon,0,14.7,39,Planetographic  +East  -180 - 180,不批准,Not Approved, ,穆罕默德；埃及作家（1849-1905）。,Mohammed; Egyptian writer (1849-1905).
亚伯,Abel,Moon,137.35,-34.63,85.78,Planetographic  +East  -180 - 180,已批准,Approved,1964,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
亚伯,Abel A,Moon,27.83,-36.31,85.8,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
亚伯,Abel B,Moon,41.55,-36.72,82.6,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
亚伯·C,Abel C,Moon,36.84,-36.13,81.41,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
