Feature_Name,Feature_Name_CN,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Status_CN,Approval_Date,Origin,Origin_CN
8 Homeward,8归乡,Moon,12.52,-12.02,97.09,Planetographic  +East  -180 - 180,Approved,已批准,"Oct 5, 2018","Crater visible in the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, symbolizes the safe return to Earth of Apollo 8. The crater was previously designated Ganskiy (Hansky) M.",1968年12月24日由W. A. Anders在阿波罗8号上拍摄的标志性“地球上升”彩色照片中可见的陨石坑，象征着安全返回阿波罗8号地球。该陨石坑以前被称为Ganskiy（Hansky）M。
Abbe,阿贝,Moon,63.98,-57.58,174.77,Planetographic  +East  -180 - 180,Approved,已批准,1970,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",恩斯特·卡尔；德国眼镜师，物理学家，天文学家（1840-1905）。
Abbe H,阿贝·H,Moon,25.13,-58.44,177.58,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",恩斯特·卡尔；德国眼镜师，物理学家，天文学家（1840-1905）。
Abbe K,阿贝K,Moon,26.1,-59.82,176.86,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",恩斯特·卡尔；德国眼镜师，物理学家，天文学家（1840-1905）。
Abbe M,阿贝·M,Moon,28.61,-61.75,175.24,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",恩斯特·卡尔；德国眼镜师，物理学家，天文学家（1840-1905）。
Abbot,方丈,Moon,10.4,5.56,54.74,Planetographic  +East  -180 - 180,Approved,已批准,1973,Charles Greeley; American astrophysicist (1872-1973).,查尔斯·格里利；美国天体物理学家（1872-1973）。
Abel,亚伯,Moon,137.35,-34.63,85.78,Planetographic  +East  -180 - 180,Approved,已批准,1964,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel A,亚伯,Moon,27.83,-36.31,85.8,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel B,亚伯,Moon,41.55,-36.72,82.6,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel C,亚伯·C,Moon,36.84,-36.13,81.41,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel D,亚伯·D,Moon,27.9,-37.67,86.45,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel E,阿贝尔,Moon,14,-37.54,84.44,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel J,亚伯·J,Moon,18.76,-36.2,79.87,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel K,亚伯·K,Moon,9.94,-34.69,77.46,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel L,一口钟,Moon,54.13,-34.55,82.39,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abel M,亚伯·M,Moon,91.01,-32.38,83.52,Planetographic  +East  -180 - 180,Approved,已批准,2006,Niels Henrik; Norwegian mathematician (1802-1829).,Niels Henrik；挪威数学家（1802-1829）。
Abenezra,阿贝内斯拉,Moon,43.19,-20.99,11.89,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
